"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
25,"2010-10-04 18:30:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Desestimado","2011-02-15","Call Center","2011-02-15 10:57:00","02"
27,"2010-10-04 18:30:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Desestimado","2011-02-21","Call Center","2011-02-15 11:12:00","02"
29,"2011-02-19 02:30:00","Buenos Aires","La Plata","La Plata","","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el interior del local","Personal de empresas de seguridad","Agresión física","Se solicitó asistencia policial","Derivado","2011-02-21","Página web de RENCAP ","2011-02-19 18:04:00","06"
30,"2010-08-14 04:00:00","Buenos Aires","La Plata","La Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2011-02-21","Call Center","2011-02-21 11:26:00","06"
31,"2010-11-28 06:00:00","Buenos Aires","Quilmes","Quilmes","","","En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2011-02-25","Página web de RENCAP ","2011-02-24 21:55:00","06"
32,"2011-01-15 03:00:00","Chubut","Trelew","TRELEW","Por aspecto físico","El personal de control no esta identificado","","Personal de empresas de seguridad","","","Derivado","2011-02-28","Página web de RENCAP ","2011-02-26 20:55:00","26"
33,"2010-12-25 06:00:00","Santiago del Estero","Sachayoj","SACHAYOJ","","","En el interior del local","Policias","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-02-28","Call Center","2011-02-28 16:50:00","86"
34,"2010-12-25 06:00:00","Santiago del Estero","Sachayoj","SACHAYOJ","","","En el interior del local","Policias","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-02-28","Call Center","2011-02-28 16:53:00","86"
35,"2010-09-18 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Otros","El personal de control no esta identificado","En el interior del local","Controladores","","","Derivado","2011-03-02","Call Center","2011-03-01 16:07:00","02"
36,"2010-10-08 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por orientacion sexual - Otros","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-03-02","Call Center","2011-03-02 10:04:00","02"
37,"2011-03-06 02:30:00","Buenos Aires","Almirante Brown","Glew","Otros","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-03-09","Call Center","2011-03-09 14:37:00","06"
38,"2011-03-08 03:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el interior del local","Personal de empresas de seguridad","Agresión física","Se solicitó asistencia policial","Derivado","2011-03-10","Call Center","2011-03-10 09:23:00","06"
39,"2011-02-12 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Personas vinculadas a la empresa","Agresión sexual","","Derivado","2011-03-15","Call Center","2011-03-10 19:20:00","02"
40,"2011-03-05 02:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","Por aspecto físico - Otros","","","","","","Desestimado","2014-12-03","Call Center","2011-03-10 20:51:00","06"
41,"2010-12-31 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por aspecto físico","","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2011-03-11","Call Center","2011-03-11 16:44:00","02"
42,"2011-03-12 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Por indumentaria","","","","","","Derivado","2011-03-14","Call Center","2011-03-13 04:50:00","02"
43,"2011-03-13 04:30:00","Buenos Aires","Villa Gesell","Villa Gesell","Por aspecto físico - Otros","","","","","","Derivado","2011-03-15","Call Center","2011-03-13 04:54:00","06"
44,"2011-02-16 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Otros","","En el acceso local","Controladores","","","Derivado","2011-03-15","Call Center","2011-03-14 16:28:00","02"
45,"2011-02-06 02:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","Otros","","En el acceso local","Controladores","","","Derivado","2011-03-16","Call Center","2011-03-16 10:54:00","06"
46,"2011-03-12 12:30:00","Buenos Aires","Vicente López","Olivos","","","En las proximidades del local","Controladores","Agresión física","","Derivado","2011-03-16","Call Center","2011-03-16 11:31:00","06"
47,"2011-03-06 05:30:00","Buenos Aires","Lomas de Zamora","Banfield","","","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-21","Call Center","2011-03-18 17:30:00","06"
48,"2011-03-18 18:40:00","Buenos Aires","Castelli","Castelli","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","","Derivado","2011-03-21","Call Center","2011-03-18 18:41:00","06"
49,"2011-03-20 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2011-03-21","Call Center","2011-03-20 16:30:00","02"
50,"2011-03-20 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","","","","","Derivado","2011-03-21","Página web de RENCAP ","2011-03-20 22:38:00","02"
51,"2011-03-20 03:20:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","Otros","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","Se hizo denuncia policial","Derivado","2011-03-21","Call Center","2011-03-20 23:17:00","02"
52,"2011-03-20 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","","","En el interior del local - En las proximidades del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-21","Call Center","2011-03-21 00:37:00","02"
53,"2011-03-19 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Otros","","","","","","Derivado","2011-03-21","Página web de RENCAP ","2011-03-21 09:53:00","02"
54,"2011-03-20 02:15:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2011-03-21","Página web de RENCAP ","2011-03-21 11:37:00","02"
55,"2011-03-19 04:00:00","Mendoza","Luján de Cuyo","LUJAN DE CUYO","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2011-03-21","Call Center","2011-03-21 15:56:00","50"
56,"2011-03-19 23:00:00","Buenos Aires","Hurlingham","Hurlingham","Otros","","","","Agresión verbal - Agresión física","","Derivado","2011-03-23","Call Center","2011-03-22 09:07:00","06"
57,"2011-03-24 01:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico","","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2011-03-28","Call Center","2011-03-24 14:25:00","06"
58,"2011-03-26 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por aspecto físico","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2011-03-28","Call Center","2011-03-26 10:34:00","02"
59,"2011-03-23 23:03:00","Buenos Aires","La Matanza","Ramos Mejía","Otros","","En el interior del local","Personal de empresas de seguridad","","","Derivado","2011-03-28","Call Center","2011-03-26 14:15:00","06"
60,"2011-03-25 00:00:00","Ciudad Autónoma de Buenos Aires","- Gobierno Provincial -","","Otros","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2011-03-28","Call Center","2011-03-26 15:18:00","02"
61,"2011-03-27 05:00:00","Buenos Aires","Tres de Febrero","","","","En el interior del local","Personal de empresas de seguridad","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-28","Call Center","2011-03-27 22:33:00","06"
62,"2011-03-25 23:00:00","Entre Ríos","Concordia","CONCORDIA","Otros","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","","Se hizo denuncia policial","Derivado","2011-03-29","Call Center","2011-03-28 18:34:00","30"
63,"2011-03-28 10:15:00","Buenos Aires","San Fernando","Virreyes","Otros","","En las proximidades del local","","Agresión verbal","","Desestimado","2011-03-30","Call Center","2011-03-28 19:00:00","06"
64,"2011-03-26 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2011-03-30","Call Center","2011-03-29 17:36:00","02"
65,"2011-03-27 04:00:00","Buenos Aires","Villa Gesell","Villa Gesell","","","En el interior del local - En el acceso local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-03-31","Call Center","2011-03-31 16:36:00","06"
66,"2010-11-22 02:00:00","Santa Fe","Rosario","Rosario","Por aspecto físico","","En el interior del local","Controladores","","","Derivado","2011-04-01","Call Center","2011-04-01 11:09:00","82"
67,"2011-04-01 01:10:00","Santa Fe","Rosario","Rosario","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-04-01","Call Center","2011-04-01 11:12:00","82"
68,"2011-04-03 05:30:00","Buenos Aires","La Plata","La Plata","","","En el acceso local","","Agresión física","","Derivado","2011-04-04","Página web de RENCAP ","2011-04-04 16:16:00","06"
69,"2011-04-02 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Otros","","","","","","Derivado","2011-04-05","Página web de RENCAP ","2011-04-05 12:57:00","02"
70,"2011-04-02 05:30:00","Buenos Aires","Tigre","Don Torcuato","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-04-05","Call Center","2011-04-05 13:53:00","06"
71,"2011-04-02 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa","Agresión física","","Derivado","2011-04-07","Call Center","2011-04-06 16:30:00","02"
72,"2011-03-27 04:00:00","Buenos Aires","Villa Gesell","Villa Gesell","","","En el interior del local - En el acceso local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-04-08","Call Center","2011-04-08 12:28:00","06"
73,"2011-04-09 00:30:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2011-04-11","Call Center","2011-04-09 16:16:00","06"
74,"2011-04-10 03:15:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","","","Desestimado","2011-04-11","Call Center","2011-04-10 17:09:00","02"
75,"2011-04-09 01:00:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2011-04-11","Call Center","2011-04-11 10:51:00","06"
76,"2011-04-10 01:30:00","Santa Fe","Rosario","Rosario","Por orientacion sexual","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-04-11","Call Center","2011-04-11 14:34:00","82"
77,"2011-04-11 04:11:00","Buenos Aires","Esteban Echeverría","Monte Grande","","No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2011-04-12","Call Center","2011-04-12 10:42:00","06"
78,"2011-04-16 04:20:00","Buenos Aires","La Plata","La Plata","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2011-04-18","Call Center","2011-04-16 05:15:00","06"
79,"2011-04-16 02:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico - Por indumentaria","","","","","","Derivado","2011-04-18","Call Center","2011-04-18 12:02:00","06"
80,"2011-04-16 22:00:00","Buenos Aires","Hurlingham","","Por aspecto físico","","En el acceso local - En las proximidades del local","Controladores","Agresión verbal","","Desestimado","2014-12-03","Call Center","2011-04-18 20:02:00","06"
81,"2011-04-16 22:00:00","Buenos Aires","Hurlingham","Hurlingham","Por aspecto físico","","En el acceso local","","Agresión verbal","","Derivado","2011-04-20","Call Center","2011-04-19 19:20:00","06"
82,"2011-04-08 00:45:00","Santa Fe","Rafaela","Rafaela","Por aspecto físico","","","","","","Derivado","2011-04-25","Página web de RENCAP ","2011-04-21 11:54:00","82"
83,"2011-04-17 01:00:00","Buenos Aires","San Isidro","Martinez","Otros","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2011-04-25","Call Center","2011-04-22 18:43:00","06"
84,"2011-04-18 06:25:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2011-04-28","Call Center","2011-04-22 19:24:00","02"
85,"2011-04-23 03:00:00","Buenos Aires","La Matanza","Ramos Mejía","","El personal de control no esta identificado","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-04-25","Call Center","2011-04-23 12:27:00","06"
86,"2011-04-21 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-04-28","Call Center","2011-04-23 14:50:00","02"
87,"2001-04-23 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","","Hay mas personas que las permitidas por la habilitación","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-04-28","Call Center","2011-04-23 22:50:00","02"
88,"2011-04-24 03:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Otros","","En el interior del local","Controladores","","","Desestimado","2011-05-17","Call Center","2011-04-24 04:34:00","02"
89,"2011-04-24 03:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Otros","","En el interior del local","Controladores","","","Desestimado","2011-04-25","Call Center","2011-04-24 05:03:00","02"
90,"2011-04-23 06:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2011-04-26","Call Center","2011-04-26 12:07:00","06"
91,"2011-04-29 02:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Retiro","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-05-02","Call Center","2011-04-30 11:40:00","02"
92,"2011-05-01 01:40:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Otros","No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","Agresión verbal","","Derivado","2011-05-02","Página web de RENCAP ","2011-05-01 02:40:00","02"
93,"2011-03-23 01:00:00","Buenos Aires","Morón","Haedo","Otros","El personal de control no esta identificado - Presencia de menores","","","","","Derivado","2011-05-02","Página web de RENCAP ","2011-05-01 14:03:00","06"
94,"2011-05-01 04:00:00","Santiago del Estero","Santiago del Estero","SANTIAGO DEL ESTERO","Por aspecto físico","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2011-05-02","Call Center","2011-05-02 12:17:00","86"
95,"2011-03-27 05:30:00","Buenos Aires","General San Martín","Villa Gral. San Martín","","","En el interior del local","Controladores","Agresión física","","Derivado","2011-05-04","Call Center","2011-05-03 14:20:00","06"
96,"2011-04-30 03:20:00","Buenos Aires","Tigre","Tigre","","","En el interior del local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2011-05-04","Página web de RENCAP ","2011-05-04 00:46:00","06"
97,"2011-05-08 00:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-05-09","Call Center","2011-05-08 15:12:00","02"
98,"2011-05-01 03:00:00","Buenos Aires","Morón","Haedo","","","En el interior del local","Controladores","","","Derivado","2011-05-10","Call Center","2011-05-09 15:57:00","06"
99,"2011-05-07 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico","","En el acceso local","Controladores - Personal de empresas de seguridad","","","Derivado","2011-05-10","Call Center","2011-05-09 20:11:00","02"
100,"2011-05-07 22:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico - Por indumentaria","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2011-05-11","Call Center","2011-05-10 19:16:00","06"
101,"2011-05-07 20:00:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Otros","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores","","","Derivado","2011-05-12","Call Center","2011-05-10 19:45:00","02"
102,"2011-02-12 22:00:00","Buenos Aires","Saavedra","Saavedra","Por aspecto físico - Por indumentaria","","En el acceso local - En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-05-12","Call Center","2011-05-10 19:46:00","06"
103,"2011-05-09 06:00:00","Buenos Aires","Lanús","Lanús","","","En las proximidades del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2011-05-11","Call Center","2011-05-11 10:37:00","06"
104,"2011-05-07 04:45:00","Buenos Aires","Tigre","Tigre","Otros","","En el interior del local - En el acceso local - En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2011-05-16","Página web de RENCAP ","2011-05-13 15:07:00","06"
105,"2011-05-14 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-05-17","Call Center","2011-05-16 20:28:00","02"
106,"2011-05-15 04:00:00","Buenos Aires","San Isidro","Martinez","","","En el acceso local - En las proximidades del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-05-17","Call Center","2011-05-17 15:34:00","06"
107,"2011-01-05 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2011-05-20","Página web de RENCAP ","2011-05-19 00:47:00","02"
108,"2011-05-13 03:45:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","","","En el interior del local","Controladores","","","Derivado","2011-05-27","Call Center","2011-05-27 11:00:00","02"
109,"2011-05-21 00:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-05-27","Call Center","2011-05-27 11:40:00","02"
110,"2011-05-25 02:30:00","Buenos Aires","Tigre","Tigre","","","En el acceso local","Controladores","Agresión física","","Derivado","2011-05-30","Call Center","2011-05-27 15:56:00","06"
111,"2011-05-14 00:30:00","Buenos Aires","San Miguel","San Miguel","","","En el interior del local","Personas vinculadas a la empresa","","","Derivado","2011-05-30","Call Center","2011-05-30 10:43:00","06"
112,"2011-05-29 01:00:00","Buenos Aires","Vicente López","Olivos","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2011-05-30","Call Center","2011-05-30 10:45:00","06"
113,"2011-05-30 12:45:00","Buenos Aires","Almirante Brown","Almte. Brown (Adrogué)","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2011-05-31","Call Center","2011-05-31 11:31:00","06"
114,"2011-05-28 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","","","En el interior del local","Controladores","Agresión física","","Derivado","2011-06-02","Call Center","2011-06-01 14:40:00","02"
115,"2011-04-06 03:45:00","Chubut","Comodoro Rivadavia","COMODORO RIVADAVIA","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2011-06-06","Página web de RENCAP ","2011-06-04 16:55:00","26"
116,"2011-06-04 05:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","","El personal de control no esta identificado","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2011-06-06","Call Center","2011-06-05 16:33:00","02"
117,"2011-03-27 05:30:00","Buenos Aires","Marcos Paz","Marcos Paz","","","En el interior del local","Personas vinculadas a la empresa","Agresión física","","Derivado","2011-06-08","Call Center","2011-06-07 16:34:00","06"
118,"2011-06-03 21:52:00","Buenos Aires","La Matanza","Tapiales","","El personal de control no esta identificado","En el acceso local","Controladores","Agresión física","","Derivado","2011-06-08","Call Center","2011-06-07 16:36:00","06"
119,"2011-05-28 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Cristóbal","","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2011-06-08","Call Center","2011-06-08 13:35:00","02"
120,"2011-06-10 01:00:00","Buenos Aires","General San Martín","San Andrés","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - Presencia de menores","En el acceso local","Controladores","Agresión verbal - Agresión física","","Desestimado","2011-06-10","Call Center","2011-06-10 10:26:00","06"
121,"2011-06-12 02:00:00","Córdoba","Río Segundo","RIO SEGUNDO","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores - Policias","","Se solicitó asistencia policial","Derivado","2011-06-13","Call Center","2011-06-13 12:58:00","14"
122,"2011-06-12 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Racial","","En el acceso local","Controladores","","","Derivado","2011-06-14","Call Center","2011-06-13 13:42:00","02"
123,"2011-06-12 03:30:00","Buenos Aires","La Matanza","G. de Laferrere","Por orientacion sexual","","En el interior del local","Controladores","Agresión verbal","","Desestimado","2011-06-16","Call Center","2011-06-15 15:06:00","06"
124,"2011-06-11 04:00:00","Buenos Aires","La Matanza","G. de Laferrere","Por orientacion sexual","","En el interior del local - En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2011-06-16","Página web de RENCAP ","2011-06-15 18:23:00","06"
125,"2011-06-16 11:00:00","Buenos Aires","Quilmes","San F. Solano","","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2011-06-17","Call Center","2011-06-17 13:31:00","06"
126,"2011-06-19 01:30:00","Santa Fe","Santa Fe","Santa Fe","Por indumentaria","","En el acceso local","Policias","","","Derivado","2011-06-21","Call Center","2011-06-19 01:54:00","82"
127,"2011-06-17 04:20:00","San Juan","San Juan","SAN JUAN","Por aspecto físico","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2011-06-21","Call Center","2011-06-21 01:26:00","70"
128,"2011-06-19 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2011-06-22","Call Center","2011-06-21 16:05:00","02"
354,"2012-06-30 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Colegiales","","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores - Personal de empresas de seguridad","Agresión verbal","","Derivado","2012-07-02","Página web de RENCAP ","2012-06-30 07:49:00","02"
355,"2012-06-30 02:30:00","Entre Ríos","Paraná","","Racial","","En el acceso local","Controladores","","","Derivado","2012-07-04","Call Center","2012-07-02 16:10:00","30"
