ALFABETA;"PRINCIPIO ACTIVO";"MARCA COMERCIAL";PRESENTACION;LABORATORIO;"PVP PAMI AL 30/04/2021";COBERTURA;"IMPORTE AFILIADO"
37918;"carboximetilcelulosa sódica";"REFRESH TEARS";"0.5% gts.x 10 ml";Allergan-Loa;655.66;50;327.83
23975;"carboximetilcelulosa sódica";"REFRESH TEARS";"0.5% gts.x 15 ml";Allergan-Loa;872.74;50;436.37
32902;"carboximetilcelulosa sódica";"REFRESH LIQUIGEL";"1% fco.gotero x 15 ml";Allergan-Loa;833.01;50;416.51
42509;ciclosporina;RESTASIS;"viales x 30unids.x 0.4ml";Allergan-Loa;1807.88;60;723.15
41748;epinastina;RELESTAT;"sol.oft.x 5 ml";Allergan-Loa;1067.18;50;533.59
241;fluorometolona;"F M L LIQUIFILM";"susp.oft.x 10 ml";Allergan-Loa;653.1;50;326.55
242;fluorometolona+asoc.;"F M L NEO LIQUIFILM";"susp.oft.x 5 ml";Allergan-Loa;651.01;50;325.51
34168;gatifloxacina;ZYMARAN;"0.3% sol.oft.x 5 ml";Allergan-Loa;1151.53;80;230.31
47867;gatifloxacina;ZYMAXID;"fco.gotero x 5 ml";Allergan-Loa;1413.49;80;282.7
43004;glicerina+asoc.;OPTIVE;"sol.oft.x 10 ml";Allergan-Loa;708.57;50;354.29
40574;glicerina+asoc.;OPTIVE;"sol.oft.x 15 ml";Allergan-Loa;931.07;50;465.54
38945;ketorolac;"ACULAR LS";"sol.oft.x 5 ml";Allergan-Loa;1200.29;50;600.15
15467;ketorolac;ACULAR;"sol.oft.x 5 ml";Allergan-Loa;899.82;50;449.91
48009;ketorolac;ACUVAIL;"viales unids.x 30 x0.4ml";Allergan-Loa;1118.2;50;559.1
19724;levobunolol;"BETAGAN LIQUIFILM";"0.50% sol.x 5 ml";Allergan-Loa;537.19;60;214.88
13697;ofloxacina;OFLOX;"sol.oft.x 5 ml";Allergan-Loa;477.55;60;191.02
246;prednisolona+fenilefrina;"PREDNEFRIN 0.12%";"susp.oft.x 10 ml";Allergan-Loa;685;80;137
245;prednisolona+fenilefrina;"PREDNEFRIN FORTE";"susp.oft.x 10 ml";Allergan-Loa;1211.19;80;242.24
5185;timolol.maleato;PROTEVIS;"500 mg gts.oft.x 5 ml";Allergan-Loa;249.18;80;49.84
26301;tobramicina;TOBRAGAN;"0.3% gts.oft.x 5 ml";Allergan-Loa;402.21;60;160.88
46768;denosumab;PROLIA;"60 mg/ml jga.prell.x 1";Amgen;17198.9;50;8599.45
46381;adapaleno;SINAC;"0.3% gel x 30 g";Andrómaco;1326.37;50;663.19
299;betametasona+gentamic.+miconazol;MACRIL;"cr.x 20 g";Andrómaco;564.92;50;282.46
39726;betametasona+salicílico.ác.;BETASALIC;"loc.x 40 ml";Andrómaco;466.75;50;233.38
33250;betametasona+salicílico.ác.;BETASALIC;"ung.x 15 g";Andrómaco;516.04;50;258.02
17036;butamirato.citrato;"TALASA NF";"jbe.x 120 ml";Andrómaco;573.95;50;286.98
23212;clobetasol;SALAC;"cr.x 20 g";Andrómaco;471.38;50;235.69
50120;clobetasol;SALAC;"cr.x 30 g";Andrómaco;608.52;50;304.26
23213;clobetasol;SALAC;"loc.x 40 ml";Andrómaco;525.7;50;262.85
43829;clobetasol;SALAC;"shamp.x 140 ml";Andrómaco;1417.07;50;708.54
23211;clobetasol;SALAC;"ung.x 20 g";Andrómaco;419.97;50;209.99
48143;fluconazol;FLUPEC;"150 mg comp.x 2";Andrómaco;623.28;50;311.64
48144;fluconazol;FLUPEC;"150 mg comp.x 4";Andrómaco;1110.86;50;555.43
48145;fluconazol;FLUPEC;"150 mg comp.x 8";Andrómaco;1904.78;50;952.39
42663;fusídico.ác.;ACIFUSIN;"cr.x 15 g";Andrómaco;557;60;222.8
42665;fusídico.ác.+betametasona;"ACIFUSIN B";"cr.x 15 g";Andrómaco;641.08;50;320.54
38925;hidrocortisona;DEMACORT;"cr.x 15 g";Andrómaco;371.1;50;185.55
50965;hidrocortisona+asoc.;"HIPOGLOS CON HIDROCORTISONA";"pda.x 15 g";Andrómaco;279.94;50;139.97
5657;ketoconazol;FITONAL;"comp.x 20";Andrómaco;368.17;50;184.09
5718;ketoconazol;FITONAL;"cr.x 30 g";Andrómaco;385.53;50;192.77
36791;levocetirizina;LEVOMINE;"5 mg comp.x 10";Andrómaco;492.32;50;246.16
44841;levocetirizina;LEVOMINE;"5 mg comp.x 30";Andrómaco;1263.48;50;631.74
12137;mebendazol;"MEBUTAR 200";"comp.x 6";Andrómaco;443.54;50;221.77
12138;mebendazol;"MEBUTAR 200";"susp.x 30 ml";Andrómaco;502.27;50;251.14
302;mebendazol+tinidazol;"MEBUTAR COMPUESTO";"comp.rec.x 6";Andrómaco;417.46;50;208.73
32780;mebendazol+tinidazol;"MEBUTAR COMPUESTO";"pvo.susp.oral x 18 g";Andrómaco;474.06;50;237.03
19976;miconazol;DERALBINE;"cr.x 40 g";Andrómaco;452.26;50;226.13
19978;miconazol;DERALBINE;"loc.x 40 ml";Andrómaco;391.36;50;195.68
26902;miconazol;DERALBINE;"pvo.en spray x 90 g";Andrómaco;776.96;50;388.48
19977;miconazol;DERALBINE;"pvo.x 40 g";Andrómaco;440.68;50;220.34
304;naproxeno;NAPRUX;"250 mg comp.x 20";Andrómaco;383.08;50;191.54
22867;naproxeno;NAPRUX;"250 mg comp.x 50";Andrómaco;844.48;50;422.24
636;naproxeno;NAPRUX;"500 mg comp.x 20";Andrómaco;809.62;50;404.81
38821;naproxeno;NAPRUX;"500 mg comp.x 50";Andrómaco;1683.15;50;841.58
41754;naproxeno;"NAPRUX RAPID";"550 mg comp.rec.ran.x 10";Andrómaco;456.27;50;228.14
41755;naproxeno;"NAPRUX RAPID";"550 mg comp.rec.ran.x 20";Andrómaco;887.98;50;443.99
40274;naproxeno+carisoprodol;"NAPRUX DISTEN";"comp.x 10";Andrómaco;430.36;50;215.18
40275;naproxeno+carisoprodol;"NAPRUX DISTEN";"comp.x 30";Andrómaco;1244.97;50;622.49
49541;salicílico.ác.+asoc.;ACNOXIN;"loc.x 140 ml";Andrómaco;705.17;50;352.59
49916;salicílico.ác.+asoc.;ACNOXIN;"spray x 140 ml";Andrómaco;860.36;50;430.18
42664;sodio.fusidato;ACIFUSIN;"ung.x 15 g";Andrómaco;496.57;60;198.63
15129;tretinoína+asoc.;"HIDROSAM T";"0.025% env.x 20 g";Andrómaco;1104.64;50;552.32
15130;tretinoína+asoc.;"HIDROSAM T";"0.050% env.x 20 g";Andrómaco;1162.65;50;581.33
24660;tretinoína+asoc.;"HIDROSAM T";"0.100% env.x 20 g";Andrómaco;1307.59;50;653.8
49302;vit.a+alantoína+asoc.;DERMAGLOS;"cr.x 150 g";Andrómaco;747.26;50;373.63
9406;vit.a+alantoína+asoc.;DERMAGLOS;"cr.x 200 g";Andrómaco;979.04;50;489.52
9404;vit.a+alantoína+asoc.;DERMAGLOS;"cr.x 50 g";Andrómaco;343.72;50;171.86
8282;vit.a+alantoína+asoc.;DERMAGLOS;"emuls.x 100 ml";Andrómaco;420.82;50;210.41
264;vit.a+alantoína+asoc.;DERMAGLOS;"emuls.x 200 ml";Andrómaco;796.39;50;398.2
21870;vit.a+alantoína+asoc.;DERMAGLOS;"emuls.x 400 ml";Andrómaco;1324.79;50;662.4
4758;vit.a+bencetonio.cl.+asoc.;HIPOGLOS;"pda.x 100 g";Andrómaco;752.63;50;376.32
9422;vit.a+bencetonio.cl.+asoc.;HIPOGLOS;"pda.x 50 g";Andrómaco;414.45;50;207.23
10207;zinc.undecilenato+asoc.;"HIPOGLOS CICATRIZANTE";"pvo.x 40 g";Andrómaco;657.68;50;328.84
54680;aripiprazol;ARISDAR;"15 mg comp.x 30";Ariston;1353.14;50;676.57
54679;aripiprazol;ARISDAR;"5 mg comp.x 30";Ariston;846.04;50;423.02
54681;baclofeno;BACLOX;"10 mg comp.x 60";Ariston;866.1;50;433.05
11798;butetamato;HELIPHENICOL;"susp.x 120 ml";Ariston;562.74;50;281.37
675;butetamato;HELIPHENICOL;"susp.x 60 ml";Ariston;64.2;50;32.1
537;butimerina+asoc.;BUTIMERIN;"pasta x 30 g";Ariston;514.14;50;257.07
48768;butimerina+asoc.;BUTIMERIN;"pvo.x 20 g";Ariston;529.72;50;264.86
53888;desvenlafaxina;"IRSYN XR";"100mg comp.rec.lib.prx30";Ariston;1823.01;50;911.51
53887;desvenlafaxina;"IRSYN XR";"50mg comp.rec.lib.pr.x30";Ariston;1029.27;50;514.64
33509;dexametasona;DEXATOTAL;"4 mg comp.ran.x 10";Ariston;258.15;50;129.08
33510;dexametasona;DEXATOTAL;"4 mg comp.ran.x 20";Ariston;490.86;50;245.43
33511;dexametasona;DEXATOTAL;"8 mg comp.ran.x 10";Ariston;544.9;50;272.45
48347;dexametasona;DEXATOTAL;"8 mg comp.ran.x 20";Ariston;967.71;50;483.86
33512;dexametasona;DEXATOTAL;"8 mg comp.ran.x 30";Ariston;1292.25;50;646.13
51320;duloxetina;DUERIX;"30 mg caps.x 14";Ariston;904.03;50;452.02
51321;duloxetina;DUERIX;"60 mg caps.x 28";Ariston;1808.87;50;904.44
4663;"escina(extr.cast.de indias)";"VENOSTASIN RETARD";"caps.x 20";Ariston;718.61;50;359.31
4664;"escina(extr.cast.de indias)";"VENOSTASIN RETARD";"caps.x 50";Ariston;1569.22;50;784.61
49640;escina+asoc.;VENOSTASIN;"comp.rec.x 60";Ariston;1357.98;50;678.99
588;escina+asoc.;VENOSTASIN;"gel x 50 g";Ariston;698.09;50;349.05
43823;escitalopram;EX3;"10 mg comp.x 30";Ariston;1115.33;50;557.67
43825;escitalopram;EX3;"20 mg comp.x 30";Ariston;2094;50;1047
52095;esomeprazol;SOLUGASTRIL;"20 mg comp.x 28";Ariston;1079.27;50;539.64
52096;esomeprazol;SOLUGASTRIL;"40 mg comp.x 28";Ariston;1427.07;50;713.54
11796;fenilefrina+asoc.;"ALZATEN DISGRELENT";"grag.x 20";Ariston;449.6;50;224.8
530;fenilefrina+asoc.;ALZATEN;"gts.x 20 ml";Ariston;435.95;50;217.98
37375;finasteride;Q-PROST;"5 mg comp.x 30";Ariston;918.47;50;459.24
48603;gabapentin;ARAPENTIN;"100 mg cáps.x 30";Ariston;575.76;60;230.3
48604;gabapentin;ARAPENTIN;"300 mg cáps.x 30";Ariston;1033.04;60;413.22
48605;gabapentin;ARAPENTIN;"300 mg cáps.x 60";Ariston;404.72;60;161.89
48606;gabapentin;ARAPENTIN;"600 mg comp.x 30";Ariston;1250.95;60;500.38
36685;hialurónico.ác.;IURONICODERM;"cr.x 30 g";Ariston;762.17;50;381.09
43311;hialurónico.ác.;IURONICODERM;"cr.x 90 g";Ariston;1726.72;50;863.36
38738;litio.carbonato;"CEGLUTION XR";"comp.x 30";Ariston;488.01;50;244.01
38739;litio.carbonato;"CEGLUTION XR";"comp.x 60";Ariston;909.88;50;454.94
31104;litio.carbonato;"CEGLUTION 300";"tab.x 20";Ariston;286.57;50;143.29
544;litio.carbonato;"CEGLUTION 300";"tab.x 50";Ariston;692.28;50;346.14
41350;litio.carbonato;"CEGLUTION 300";"tab.x 90";Ariston;1089.01;50;544.51
44805;mesalazina;"5 XR 500";"500 mg comp.x 100";Ariston;4261.86;50;2130.93
44804;mesalazina;"5 XR 500";"500 mg comp.x 50";Ariston;2508.44;50;1254.22
41464;mirtazapina;TETRAZIC;"30 mg comp.x 15";Ariston;301.93;50;150.97
41465;mirtazapina;TETRAZIC;"30 mg comp.x 30";Ariston;1299.11;50;649.56
52079;modafinilo;VISPER;"200 mg comp.x 15";Ariston;1265.99;50;633
52080;modafinilo;VISPER;"200 mg comp.x 30";Ariston;2311.8;50;1155.9
48608;naltrexona;NALCOTREX;"50 mg comp.x 30";Ariston;6131.85;50;3065.93
48952;omeprazol;PRYSMA;"20 mg caps.x 30";Ariston;169.72;50;84.86
45108;otilonio.bromuro;BROMOTIL;"40 mg comp.x 20";Ariston;452.28;50;226.14
45109;otilonio.bromuro;BROMOTIL;"40 mg comp.x 60";Ariston;955.65;50;477.83
50973;paroxetina;OPTIPAR;"20 mg comp.rec.x 30";Ariston;1050.63;50;525.32
48599;pramipexol;PRAMIXAR;"0.25 mg comp.x 30";Ariston;113.66;50;56.83
48600;pramipexol;PRAMIXAR;"0.25 mg comp.x 60";Ariston;217.08;50;108.54
48601;pramipexol;PRAMIXAR;"1 mg comp.x 30";Ariston;426.24;50;213.12
48602;pramipexol;PRAMIXAR;"1 mg comp.x 60";Ariston;721.04;50;360.52
47646;pregabalina;PREBIEN;"150 mg caps.x 28";Ariston;1862.07;50;931.04
52612;pregabalina;"PREBIEN 150 DIVIDOSIS";"150 mg comp.birran.x 30";Ariston;1913.3;50;956.65
47644;pregabalina;PREBIEN;"75 mg caps.x 14";Ariston;183.39;50;91.7
47645;pregabalina;PREBIEN;"75 mg caps.x 28";Ariston;1163.21;50;581.61
49127;pregabalina;"PREBIEN 75 DIVIDOSIS";"75 mg comp.birran.x 30";Ariston;1415.95;50;707.98
45580;quetiapina;INQUETIA;"100 mg comp.x 30";Ariston;2784.06;50;1392.03
45581;quetiapina;INQUETIA;"200 mg comp.x 30";Ariston;3507.91;50;1753.96
45579;quetiapina;INQUETIA;"25 mg comp.x 30";Ariston;1656.08;50;828.04
49996;rifaximina;RIFAXTRIL;"200 mg comp.x 20";Ariston;787.19;50;393.6
49997;rifaximina;RIFAXTRIL;"200 mg comp.x 40";Ariston;1558.14;50;779.07
38531;sodio.hialuronato+asoc.;"IURONICO BIOTIC";"cr.x 30 g";Ariston;911.82;50;455.91
43134;tamsulosina;UROPROST-Q;"0.4 mg caps.x 30";Ariston;1223.62;50;611.81
43135;tamsulosina;UROPROST-Q;"0.4 mg caps.x 60";Ariston;2005.8;50;1002.9
583;tirotricina+asoc.;SOLUMERIN;"sol.x 100 ml";Ariston;165.51;50;82.76
50972;tióctico.ác.;"AT 600";"600 mg comp.rec.x 30";Ariston;747.93;50;373.97
49136;tramadol;ANA-Q;"50 mg comp.x 30";Ariston;729.75;50;364.88
48495;trifluoperazina;"CUAIT TRIFLUOPERAZINA";"10 mg comp.x 30";Ariston;704.18;50;352.09
44801;ursodesoxicólico.ác.;AUDECOL;"150 mg comp.x 20";Ariston;548.16;50;274.08
48496;ursodesoxicólico.ác.;AUDECOL;"300 mg comp.x 20";Ariston;1153.18;50;576.59
44803;ursodesoxicólico.ác.;AUDECOL;"300 mg comp.x 50";Ariston;2365.89;50;1182.95
43142;venlafaxina;"QUILAREX XR";"150 mg comp.x 28";Ariston;1316.3;50;658.15
43140;venlafaxina;"QUILAREX XR";"75 mg comp.x 28";Ariston;972.3;50;486.15
35693;venlafaxina;QUILAREX;"75 mg comp.x 30";Ariston;700.21;50;350.11
9136;atracurio.besilato;TRACRIUM;"50 mg iny.a.x 1 x 5 ml";"Aspen Argentina";686.14;50;343.07
6193;estriol;ORGESTRIOL;"cr.vag.x 15 g c/aplic.";"Aspen Argentina";424.31;50;212.16
8412;estriol;ORGESTRIOL;"ov.x 10";"Aspen Argentina";434.47;50;217.24
5360;metildopa;ALDOMET;"250 mg comp.rec.x 30";"Aspen Argentina";286.38;60;114.55
5362;metildopa;ALDOMET;"500 mg comp.rec.x 30";"Aspen Argentina";401.87;60;160.75
608;"nadroparina cálcica";FRAXIPARINE;"jga.prell.x 10 - 0.3 ml";"Aspen Argentina";2170.81;60;868.32
15062;"nadroparina cálcica";FRAXIPARINE;"jga.prell.x 10 - 0.4 ml";"Aspen Argentina";3707.48;60;1482.99
1339;"nadroparina cálcica";FRAXIPARINE;"jga.prell.x 10 - 0.6 ml";"Aspen Argentina";5227.18;60;2090.87
14924;"nadroparina cálcica";FRAXIPARINE;"jga.prell.x 10 - 0.8 ml";"Aspen Argentina";6971.47;60;2788.59
6181;nandrolona;DECA-DURABOLIN;"50 mg iny.a.x 1 x 1 ml";"Aspen Argentina";649.94;50;324.97
24823;tirofiban;AGRASTAT;"12.5 mg vial x 50 ml";"Aspen Argentina";16602.74;50;8301.37
4402;atenolol;PRENORMINE;"50 mg comp.x 28";AstraZeneca;307.09;80;61.42
12202;atenolol;PRENORMINE;"50 mg comp.x 56";AstraZeneca;609.2;80;121.84
4397;atenolol+clortalidona;PRENORETIC;"100 mg comp.x 14";AstraZeneca;139.11;60;55.64
4398;atenolol+clortalidona;PRENORETIC;"100 mg comp.x 28";AstraZeneca;455.38;60;182.15
12200;atenolol+clortalidona;PRENORETIC;"100 mg comp.x 56";AstraZeneca;956.34;60;382.54
4399;atenolol+clortalidona;PRENORETIC;"50 mg comp.x 14";AstraZeneca;92.02;60;36.81
4400;atenolol+clortalidona;PRENORETIC;"50 mg comp.x 28";AstraZeneca;340.9;60;136.36
12201;atenolol+clortalidona;PRENORETIC;"50 mg comp.x 56";AstraZeneca;922.4;60;368.96
18133;budesonide;"SPIROCORT SUSPENSION PARA NEBULIZAR";"0.25 mg/ml monods.x 10";AstraZeneca;248.67;80;49.73
18135;budesonide;"SPIROCORT SUSPENSION PARA NEBULIZAR";"0.5 mg/ml monods.x 10";AstraZeneca;345.1;80;69.02
14482;budesonide;"SPIROCORT TURBUHALER";"100 mcg env.x 200 dosis";AstraZeneca;521.69;80;104.34
14483;budesonide;"SPIROCORT TURBUHALER";"200 mcg env.x 200 dosis";AstraZeneca;1430.9;80;286.18
14484;budesonide;"SPIROCORT TURBUHALER";"400 mcg env.x 200 dosis";AstraZeneca;1754.53;80;350.91
31126;budesonide;"SPIROCORT NASAL AQUA";"64 mcg env.x 120 dosis";AstraZeneca;371.85;80;74.37
28199;budesonide+formoterol;"SYMBICORT TURBUHALER";"160/4.5 mcg dosis x 120";AstraZeneca;3524.29;60;1409.72
28198;budesonide+formoterol;"SYMBICORT TURBUHALER";"160/4.5 mcg dosis x 60";AstraZeneca;1762.14;60;704.86
43180;budesonide+formoterol;FREVIA;"160/4.5 mcg x 120 dosis";AstraZeneca;3457.58;60;1383.03
32247;budesonide+formoterol;"SYMBICORT-FORTE TURBUHALER";"320/9 mcg dosis x 60";AstraZeneca;3514.97;60;1405.99
31463;budesonide+formoterol;"SYMBICORT-M TURBUHALER";"80/4.5 mcg dosis x 120";AstraZeneca;2790.31;60;1116.12
43179;budesonide+formoterol;FREVIA;"80/4.5 mcg x 120 dosis";AstraZeneca;2737.5;60;1095
55472;"candesartán cilexetil";ATACAND;"16 mg comp.divis.x 28";AstraZeneca;2597.2;60;1038.88
55473;"candesartán cilexetil";ATACAND;"32 mg comp.divis.x 28";AstraZeneca;4013.48;60;1605.39
55471;"candesartán cilexetil";ATACAND;"8 mg comp.divis.x 28";AstraZeneca;1887.05;60;754.82
45021;"candesartán cilexetil+felodipina";"ATACAND DUO";"16mg/2.5mg comp.x 60";AstraZeneca;2120.98;50;1060.49
45022;"candesartán cilexetil+felodipina";"ATACAND DUO";"16mg/5mg comp.x 60";AstraZeneca;2120.98;50;1060.49
45019;"candesartán cilexetil+felodipina";"ATACAND DUO";"8mg/2.5mg comp.x 60";AstraZeneca;1232.94;50;616.47
45020;"candesartán cilexetil+felodipina";"ATACAND DUO";"8mg/5mg comp.x 60";AstraZeneca;798.82;50;399.41
27161;candesartán+hidroclorotiazida;"ATACAND D";"16 mg comp.divis.x 15";AstraZeneca;1032.69;60;413.08
55475;candesartán+hidroclorotiazida;"ATACAND D";"16 mg comp.divis.x 28";AstraZeneca;2596.29;60;1038.52
55474;candesartán+hidroclorotiazida;"ATACAND D";"8 mg comp.divis.x 28";AstraZeneca;1947.16;60;778.86
45669;escitalopram;"ZENVAS 10";"10 mg comp.rec.x 30";AstraZeneca;1631.49;50;815.75
45670;escitalopram;"ZENVAS 20";"20 mg comp.rec.x 30";AstraZeneca;3070.28;50;1535.14
45426;esomeprazol;NEXIUM;"10 mg sobres x 28";AstraZeneca;1957.92;50;978.96
28423;esomeprazol;NEXIUM;"20 mg comp.rec.x 14";AstraZeneca;687.41;50;343.71
28424;esomeprazol;NEXIUM;"20 mg comp.rec.x 28";AstraZeneca;1683.64;50;841.82
34774;esomeprazol;NEXIUM;"40 mg IV vial x 1";AstraZeneca;196.41;50;98.21
28425;esomeprazol;NEXIUM;"40 mg comp.rec.x 14";AstraZeneca;1208.2;50;604.1
28426;esomeprazol;NEXIUM;"40 mg comp.rec.x 28";AstraZeneca;2416.37;50;1208.19
55481;felodipina;PLENDIL;"10 mg comp.lib.prol.x 28";AstraZeneca;1822.65;60;729.06
20360;felodipina;PLENDIL;"2.5 mg comp.lib.prol.x30";AstraZeneca;303.38;60;121.35
55482;felodipina;PLENDIL;"5 mg comp.lib.prol.x 28";AstraZeneca;1228.28;60;491.31
20364;formoterol;"OXIS TURBUHALER";"4.5 mcg env.x 60 dosis";AstraZeneca;386.29;80;77.26
